account_a,account_b,is_same_operator,note
acc_121,acc_122,1,same_operator
acc_040,acc_072,0,
acc_098,acc_127,0,
acc_052,acc_057,0,PLANTED_DECOY
acc_051,acc_115,0,
acc_129,acc_131,1,same_operator
acc_007,acc_050,0,
acc_007,acc_120,0,
acc_019,acc_032,0,
acc_044,acc_125,0,
acc_067,acc_068,1,same_operator
acc_012,acc_013,1,same_operator
acc_013,acc_126,0,
acc_017,acc_046,0,
acc_080,acc_083,0,
acc_124,acc_126,0,
acc_010,acc_126,0,
acc_044,acc_057,0,
acc_008,acc_133,0,
acc_105,acc_106,1,same_operator
acc_083,acc_092,0,
acc_067,acc_072,0,
acc_001,acc_076,0,
acc_099,acc_102,0,
acc_015,acc_068,0,
acc_012,acc_118,0,
acc_011,acc_014,0,
acc_021,acc_045,0,
acc_045,acc_085,0,
acc_023,acc_089,0,
acc_091,acc_134,0,
acc_071,acc_084,0,
acc_009,acc_088,0,
acc_095,acc_121,0,
acc_046,acc_058,0,
acc_050,acc_067,0,
acc_013,acc_039,0,
acc_006,acc_070,0,
acc_096,acc_100,0,
acc_013,acc_015,1,same_operator
acc_034,acc_098,0,
acc_020,acc_088,0,
acc_049,acc_066,0,
acc_026,acc_133,0,
acc_061,acc_104,0,PLANTED_DECOY
acc_014,acc_045,0,
acc_042,acc_043,1,same_operator
acc_017,acc_119,0,
acc_103,acc_111,0,
acc_040,acc_064,0,
acc_055,acc_096,0,
acc_033,acc_077,0,
acc_008,acc_112,0,
acc_013,acc_014,1,same_operator
acc_046,acc_101,0,
acc_098,acc_115,0,
acc_048,acc_134,0,
acc_099,acc_136,0,
acc_021,acc_040,0,
acc_061,acc_088,0,
acc_108,acc_125,0,
acc_048,acc_104,0,
acc_008,acc_097,0,
acc_110,acc_112,0,
acc_118,acc_132,0,
acc_129,acc_132,1,same_operator
acc_030,acc_031,1,same_operator
acc_013,acc_057,0,
acc_109,acc_110,1,same_operator
acc_016,acc_108,0,
acc_008,acc_123,0,
acc_031,acc_135,0,
acc_021,acc_054,0,
acc_005,acc_038,0,
acc_073,acc_093,0,
acc_073,acc_074,1,same_operator
acc_032,acc_046,0,
acc_097,acc_099,0,PLANTED_HANDOVER
acc_033,acc_054,0,
acc_024,acc_057,0,
acc_069,acc_114,0,PLANTED_DECOY
acc_040,acc_041,1,same_operator
acc_100,acc_112,0,
acc_057,acc_098,0,
acc_099,acc_127,0,
acc_006,acc_107,0,
acc_038,acc_125,0,
acc_097,acc_118,0,
acc_022,acc_102,0,
acc_066,acc_106,0,
acc_026,acc_120,0,
acc_047,acc_078,0,
acc_100,acc_118,0,
acc_051,acc_089,0,
acc_133,acc_135,0,
acc_069,acc_118,0,
acc_004,acc_007,0,
acc_013,acc_023,0,
acc_006,acc_079,0,
acc_024,acc_036,0,PLANTED_DECOY
acc_042,acc_074,0,
acc_122,acc_127,0,
acc_005,acc_057,0,
acc_016,acc_127,0,
acc_060,acc_061,1,same_operator
acc_011,acc_097,0,
acc_076,acc_135,0,
acc_132,acc_135,0,
acc_012,acc_037,0,
acc_010,acc_088,0,
acc_117,acc_118,1,same_operator
acc_003,acc_121,0,
acc_016,acc_076,0,
acc_080,acc_127,0,
acc_006,acc_021,0,
acc_035,acc_084,0,
acc_018,acc_023,0,
acc_033,acc_107,0,
acc_058,acc_114,0,
acc_054,acc_066,0,
acc_030,acc_130,0,
acc_093,acc_096,0,
acc_096,acc_112,0,
acc_044,acc_110,0,
acc_040,acc_107,0,
acc_012,acc_020,0,
acc_018,acc_040,0,
acc_045,acc_094,0,
acc_109,acc_119,0,
acc_029,acc_072,0,
acc_028,acc_109,0,
acc_096,acc_129,0,
acc_031,acc_120,0,
acc_106,acc_120,0,
acc_084,acc_135,0,
acc_097,acc_098,1,same_operator
acc_076,acc_117,0,
acc_052,acc_089,0,
acc_044,acc_123,0,
acc_064,acc_065,1,same_operator
acc_095,acc_117,0,
acc_059,acc_117,0,
acc_068,acc_132,0,
acc_088,acc_114,0,
acc_048,acc_093,0,
acc_048,acc_112,0,
acc_012,acc_130,0,
acc_093,acc_094,1,same_operator
acc_004,acc_035,0,
acc_092,acc_097,0,
acc_038,acc_069,0,
acc_091,acc_092,1,same_operator
acc_055,acc_069,0,
acc_023,acc_102,0,
acc_004,acc_098,0,
acc_038,acc_039,1,same_operator
acc_024,acc_131,0,
acc_029,acc_064,0,
acc_006,acc_114,0,
acc_071,acc_082,0,
acc_000,acc_114,0,
acc_065,acc_105,0,
acc_053,acc_086,0,
acc_023,acc_035,0,
acc_010,acc_013,0,
acc_035,acc_117,0,
acc_041,acc_102,0,
acc_078,acc_097,0,
acc_079,acc_131,0,
acc_071,acc_127,0,
acc_115,acc_116,1,same_operator
acc_077,acc_084,0,
acc_079,acc_114,0,
acc_059,acc_067,0,
acc_090,acc_102,0,
acc_031,acc_128,0,
acc_003,acc_127,0,
acc_048,acc_070,0,
acc_119,acc_128,0,
acc_022,acc_043,0,
acc_046,acc_079,0,
acc_089,acc_127,0,
acc_082,acc_128,0,
acc_012,acc_023,0,
acc_036,acc_080,0,
acc_036,acc_091,0,
acc_084,acc_100,0,
acc_032,acc_081,0,
acc_113,acc_130,0,
acc_019,acc_076,0,
acc_005,acc_104,0,
acc_034,acc_035,1,same_operator
acc_076,acc_104,0,
acc_004,acc_120,0,
acc_084,acc_132,0,
acc_056,acc_110,0,
acc_070,acc_088,0,
acc_027,acc_066,0,
acc_061,acc_126,0,
acc_019,acc_056,0,
acc_088,acc_129,0,
acc_054,acc_095,0,
acc_014,acc_109,0,
acc_096,acc_098,1,same_operator
acc_056,acc_130,0,
acc_021,acc_114,0,
acc_009,acc_094,0,
acc_100,acc_111,0,
acc_021,acc_136,0,
acc_057,acc_059,1,same_operator
acc_037,acc_051,0,
acc_028,acc_093,0,
acc_018,acc_128,0,
acc_103,acc_128,0,PLANTED_HANDOVER
acc_050,acc_061,0,
acc_112,acc_113,1,same_operator
acc_076,acc_111,0,
acc_019,acc_135,0,
acc_071,acc_095,0,
acc_047,acc_074,0,
acc_111,acc_119,0,
acc_061,acc_109,0,
acc_007,acc_065,0,
acc_004,acc_053,0,
acc_002,acc_011,0,
acc_075,acc_076,1,same_operator
acc_022,acc_098,0,
acc_012,acc_102,0,
acc_019,acc_067,0,
acc_029,acc_083,0,
acc_088,acc_119,0,
acc_022,acc_121,0,
acc_053,acc_116,0,
acc_035,acc_121,0,
acc_011,acc_093,0,
acc_046,acc_063,0,
acc_017,acc_133,0,
acc_085,acc_086,1,same_operator
acc_081,acc_121,0,
acc_011,acc_094,0,
acc_082,acc_083,0,
acc_083,acc_107,0,
acc_031,acc_091,0,
acc_029,acc_116,0,
acc_089,acc_090,1,same_operator
acc_032,acc_079,0,
acc_037,acc_113,0,
acc_004,acc_030,0,
acc_047,acc_123,0,PLANTED_HANDOVER
acc_003,acc_083,0,
acc_008,acc_130,0,
acc_047,acc_050,0,
acc_025,acc_061,0,
acc_023,acc_055,0,PLANTED_HANDOVER
acc_012,acc_028,0,
acc_025,acc_078,0,
acc_122,acc_128,0,
acc_003,acc_101,0,
acc_056,acc_063,0,
acc_058,acc_120,0,
acc_050,acc_135,0,
acc_016,acc_045,0,
acc_032,acc_091,0,
acc_050,acc_063,0,
acc_012,acc_014,1,same_operator
acc_028,acc_057,0,
acc_031,acc_058,0,
acc_026,acc_054,0,
acc_094,acc_095,1,same_operator
acc_106,acc_119,0,
acc_021,acc_024,0,
acc_060,acc_087,0,
acc_011,acc_061,0,
acc_051,acc_095,0,
acc_114,acc_132,0,
acc_033,acc_101,0,
acc_084,acc_120,0,
acc_060,acc_100,0,
acc_088,acc_100,0,
acc_021,acc_101,0,
acc_063,acc_105,0,
acc_038,acc_071,0,
acc_010,acc_011,1,same_operator
acc_004,acc_124,0,
acc_036,acc_037,1,same_operator
acc_056,acc_135,0,
acc_049,acc_130,0,
acc_075,acc_089,0,
acc_023,acc_090,0,
acc_036,acc_061,0,
acc_001,acc_088,0,
acc_061,acc_100,0,
acc_070,acc_132,0,
acc_029,acc_095,0,
acc_005,acc_013,0,
acc_100,acc_119,0,
acc_025,acc_110,0,
acc_028,acc_065,0,PLANTED_DECOY
acc_109,acc_125,0,
acc_017,acc_128,0,
acc_026,acc_087,0,
acc_036,acc_100,0,
acc_006,acc_050,0,
acc_101,acc_124,0,
acc_050,acc_051,1,same_operator
acc_000,acc_037,0,
acc_023,acc_063,0,
acc_057,acc_063,0,
acc_035,acc_094,0,
acc_046,acc_129,0,
acc_048,acc_122,0,
acc_098,acc_119,0,
acc_001,acc_094,0,
acc_025,acc_046,0,
acc_044,acc_080,0,
acc_000,acc_109,0,
acc_005,acc_064,0,
acc_086,acc_094,0,
acc_095,acc_106,0,
acc_021,acc_083,0,
acc_004,acc_123,0,
acc_013,acc_108,0,
acc_044,acc_045,1,same_operator
acc_032,acc_131,0,
acc_097,acc_117,0,
acc_040,acc_121,0,
acc_068,acc_070,0,
acc_032,acc_116,0,
acc_103,acc_125,0,
acc_088,acc_123,0,
acc_118,acc_130,0,
acc_009,acc_092,0,
acc_030,acc_118,0,
acc_120,acc_123,0,
acc_078,acc_102,0,
acc_004,acc_069,0,
acc_006,acc_069,0,
acc_008,acc_046,0,
acc_039,acc_099,0,
acc_114,acc_123,0,
acc_064,acc_129,0,
acc_014,acc_031,0,
acc_093,acc_098,0,
acc_043,acc_122,0,
acc_040,acc_088,0,
acc_035,acc_077,0,PLANTED_HANDOVER
acc_016,acc_080,0,
acc_034,acc_127,0,
acc_023,acc_045,0,
acc_025,acc_044,0,
acc_046,acc_088,0,
acc_066,acc_072,0,
acc_025,acc_054,0,
acc_041,acc_054,0,
acc_040,acc_129,0,PLANTED_HANDOVER
acc_035,acc_113,0,
acc_028,acc_029,1,same_operator
acc_049,acc_074,0,
acc_057,acc_102,0,
acc_031,acc_037,0,
acc_031,acc_124,0,
acc_050,acc_070,0,
acc_001,acc_003,0,
acc_102,acc_126,0,
acc_002,acc_051,0,
acc_001,acc_074,0,
acc_033,acc_057,0,
acc_071,acc_114,0,
acc_035,acc_062,0,
acc_023,acc_131,0,PLANTED_DECOY
acc_043,acc_050,0,
acc_047,acc_077,0,
acc_030,acc_075,0,
acc_006,acc_007,1,same_operator
acc_041,acc_082,0,
acc_016,acc_039,0,
acc_073,acc_127,0,
acc_046,acc_113,0,
acc_104,acc_106,0,
acc_003,acc_030,0,
acc_054,acc_079,0,
acc_027,acc_071,0,
acc_054,acc_121,0,
acc_014,acc_089,0,
acc_018,acc_019,1,same_operator
acc_082,acc_085,0,
acc_115,acc_131,0,
acc_090,acc_118,0,
acc_025,acc_027,0,
acc_037,acc_124,0,
acc_112,acc_130,0,
acc_045,acc_126,0,
acc_029,acc_031,0,
acc_043,acc_052,0,
acc_035,acc_089,0,
acc_031,acc_130,0,
acc_015,acc_080,0,
acc_003,acc_041,0,
acc_031,acc_106,0,
acc_079,acc_112,0,
acc_068,acc_090,0,
acc_030,acc_037,0,
acc_051,acc_096,0,
acc_019,acc_124,0,
acc_019,acc_061,0,
acc_045,acc_120,0,
acc_008,acc_029,0,
acc_118,acc_123,0,
acc_015,acc_046,0,
acc_088,acc_125,0,
acc_034,acc_091,0,
acc_075,acc_129,0,
acc_053,acc_106,0,
acc_032,acc_054,0,
acc_033,acc_072,0,
acc_045,acc_076,0,
acc_073,acc_114,0,
acc_083,acc_115,0,
acc_055,acc_132,0,
acc_016,acc_029,0,
acc_061,acc_064,0,
acc_083,acc_124,0,PLANTED_DECOY
acc_114,acc_116,1,same_operator
acc_036,acc_045,0,
acc_038,acc_116,0,
acc_031,acc_048,0,
acc_037,acc_044,0,
acc_060,acc_116,0,
acc_026,acc_073,0,
acc_043,acc_107,0,
acc_068,acc_102,0,
acc_029,acc_131,0,
acc_119,acc_123,0,PLANTED_DECOY
acc_041,acc_104,0,
acc_020,acc_084,0,
acc_052,acc_061,0,
acc_121,acc_128,0,
acc_012,acc_030,0,
acc_104,acc_113,0,
acc_047,acc_048,1,same_operator
acc_105,acc_124,0,
acc_037,acc_130,0,
acc_081,acc_091,0,
acc_053,acc_055,1,same_operator
acc_045,acc_069,0,
acc_087,acc_134,0,
acc_097,acc_100,0,
acc_041,acc_081,0,
acc_036,acc_111,0,
acc_034,acc_094,0,
acc_081,acc_132,0,
acc_020,acc_112,0,
acc_004,acc_005,1,same_operator
acc_038,acc_095,0,
acc_010,acc_132,0,
acc_068,acc_114,0,
acc_010,acc_119,0,
acc_028,acc_055,0,
acc_039,acc_103,0,
acc_062,acc_082,0,
acc_023,acc_034,0,
acc_049,acc_118,0,
acc_005,acc_068,0,
acc_037,acc_118,0,
acc_014,acc_091,0,
acc_058,acc_085,0,
acc_017,acc_029,0,
acc_026,acc_081,0,
acc_062,acc_063,1,same_operator
acc_003,acc_092,0,
acc_016,acc_124,0,
acc_052,acc_054,1,same_operator
acc_107,acc_108,1,same_operator
acc_108,acc_130,0,
acc_028,acc_071,0,
acc_066,acc_089,0,
acc_042,acc_069,0,
acc_078,acc_110,0,
acc_004,acc_046,0,PLANTED_DECOY
acc_058,acc_086,0,
acc_026,acc_027,1,same_operator
acc_120,acc_121,0,
acc_077,acc_110,0,
acc_130,acc_132,1,same_operator
acc_026,acc_127,0,
acc_030,acc_112,0,PLANTED_DECOY
acc_065,acc_099,0,
acc_108,acc_124,0,
acc_016,acc_125,0,
acc_029,acc_090,0,
acc_109,acc_122,0,
acc_084,acc_104,0,
acc_020,acc_021,1,same_operator
acc_042,acc_135,0,
acc_024,acc_120,0,
acc_091,acc_096,0,
acc_057,acc_058,1,same_operator
acc_111,acc_112,1,same_operator
acc_045,acc_052,0,
acc_069,acc_101,0,PLANTED_HANDOVER
acc_042,acc_127,0,
acc_003,acc_130,0,
acc_005,acc_055,0,
acc_060,acc_070,0,
acc_076,acc_083,0,
acc_022,acc_105,0,
acc_029,acc_075,0,
acc_077,acc_088,0,
acc_031,acc_064,0,
acc_027,acc_119,0,
acc_116,acc_125,0,
acc_111,acc_127,0,
acc_017,acc_043,0,
acc_059,acc_060,0,
acc_068,acc_095,0,
acc_058,acc_068,0,
acc_042,acc_062,0,
acc_070,acc_083,0,
acc_119,acc_120,1,same_operator
acc_019,acc_087,0,
acc_014,acc_018,0,
acc_027,acc_088,0,
acc_025,acc_051,0,
acc_049,acc_110,0,
acc_018,acc_043,0,
acc_005,acc_107,0,
acc_123,acc_124,1,same_operator
acc_029,acc_092,0,
acc_092,acc_119,0,PLANTED_DECOY
acc_017,acc_047,0,
acc_031,acc_044,0,PLANTED_DECOY
acc_052,acc_055,1,same_operator
acc_071,acc_098,0,
acc_103,acc_130,0,
acc_010,acc_074,0,
acc_111,acc_116,0,
acc_023,acc_098,0,
acc_088,acc_105,0,
acc_105,acc_118,0,
acc_009,acc_081,0,
acc_034,acc_042,0,
acc_012,acc_071,0,
acc_038,acc_093,0,
acc_092,acc_108,0,
acc_111,acc_118,0,
acc_053,acc_136,0,
acc_019,acc_022,0,
acc_099,acc_121,0,
acc_000,acc_049,0,
acc_045,acc_046,1,same_operator
acc_043,acc_110,0,
acc_041,acc_071,0,
acc_095,acc_133,0,
acc_008,acc_134,0,
acc_068,acc_092,0,
acc_008,acc_009,1,same_operator
acc_047,acc_125,0,
acc_028,acc_045,0,
acc_007,acc_121,0,
acc_098,acc_116,0,
acc_086,acc_117,0,
acc_075,acc_114,0,
acc_099,acc_100,1,same_operator
acc_093,acc_095,1,same_operator
acc_042,acc_092,0,
acc_044,acc_111,0,
acc_122,acc_133,0,
acc_098,acc_135,0,
acc_000,acc_097,0,PLANTED_DECOY
acc_025,acc_048,0,
acc_013,acc_092,0,
acc_097,acc_102,0,
acc_003,acc_108,0,
acc_085,acc_124,0,
acc_050,acc_094,0,
acc_020,acc_127,0,
acc_074,acc_121,0,
acc_005,acc_037,0,
acc_008,acc_061,0,
acc_104,acc_123,0,
acc_022,acc_074,0,
acc_071,acc_129,0,
acc_016,acc_030,0,
acc_003,acc_126,0,
acc_028,acc_039,0,
acc_057,acc_128,0,
acc_050,acc_082,0,
acc_043,acc_117,0,
acc_062,acc_114,0,
acc_037,acc_116,0,
acc_135,acc_136,1,same_operator
acc_071,acc_078,0,PLANTED_HANDOVER
acc_000,acc_087,0,
